"LOCATION","Country","IND","Indicator","TIME","Time","Value","Flag Codes","Flags"
"AUT","Austria","UQ","Underqualification","2016","2016",16.6,,
"BEL","Belgium","UQ","Underqualification","2016","2016",23.8,,
"CZE","Czech Republic","UQ","Underqualification","2016","2016",8.39,,
"DNK","Denmark","UQ","Underqualification","2016","2016",20,,
"FIN","Finland","UQ","Underqualification","2016","2016",20.3,,
"FRA","France","UQ","Underqualification","2016","2016",23.5,,
"DEU","Germany","UQ","Underqualification","2016","2016",19.7,,
"GRC","Greece","UQ","Underqualification","2016","2016",20,,
"HUN","Hungary","UQ","Underqualification","2016","2016",13.6,,
"ISL","Iceland","UQ","Underqualification","2016","2016",16.3,,
"IRL","Ireland","UQ","Underqualification","2016","2016",29.5,,
"ITA","Italy","UQ","Underqualification","2016","2016",20,,
"LUX","Luxembourg","UQ","Underqualification","2016","2016",15.1,,
"NLD","Netherlands","UQ","Underqualification","2016","2016",25.1,,
"NOR","Norway","UQ","Underqualification","2016","2016",22.7,,
"POL","Poland","UQ","Underqualification","2016","2016",13.6,,
"PRT","Portugal","UQ","Underqualification","2016","2016",18.7,,
"SVK","Slovak Republic","UQ","Underqualification","2016","2016",7.59,,
"ESP","Spain","UQ","Underqualification","2016","2016",21.2,,
"SWE","Sweden","UQ","Underqualification","2016","2016",22.3,,
"CHE","Switzerland","UQ","Underqualification","2016","2016",24.7,,
"GBR","United Kingdom","UQ","Underqualification","2016","2016",27.7,,
"BGR","Bulgaria","UQ","Underqualification","2016","2016",12.6,,
"CYP","Cyprus","UQ","Underqualification","2016","2016",22.2,,
"EST","Estonia","UQ","Underqualification","2016","2016",23.8,,
"LVA","Latvia","UQ","Underqualification","2016","2016",17.6,,
"LTU","Lithuania","UQ","Underqualification","2016","2016",13.6,,
"ROU","Romania","UQ","Underqualification","2016","2016",13.5,,
"SVN","Slovenia","UQ","Underqualification","2016","2016",12.6,,
"ZAF","South Africa","UQ","Underqualification","2016","2016",28.1,,
"AUT","Austria","OQ","Overqualification","2016","2016",19.5,,
"BEL","Belgium","OQ","Overqualification","2016","2016",10.6,,
"CZE","Czech Republic","OQ","Overqualification","2016","2016",8.69,,
"DNK","Denmark","OQ","Overqualification","2016","2016",14,,
"FIN","Finland","OQ","Overqualification","2016","2016",7.8,,
"FRA","France","OQ","Overqualification","2016","2016",10.6,,
"DEU","Germany","OQ","Overqualification","2016","2016",17.2,,
"GRC","Greece","OQ","Overqualification","2016","2016",23.7,,
"HUN","Hungary","OQ","Overqualification","2016","2016",16.5,,
"ISL","Iceland","OQ","Overqualification","2016","2016",21.8,,
"IRL","Ireland","OQ","Overqualification","2016","2016",14.6,,
"ITA","Italy","OQ","Overqualification","2016","2016",18.2,,
"LUX","Luxembourg","OQ","Overqualification","2016","2016",15.1,,
"NLD","Netherlands","OQ","Overqualification","2016","2016",12.6,,
"NOR","Norway","OQ","Overqualification","2016","2016",12.3,,
"POL","Poland","OQ","Overqualification","2016","2016",9.19,,
"PRT","Portugal","OQ","Overqualification","2016","2016",23.6,,
"SVK","Slovak Republic","OQ","Overqualification","2016","2016",12.3,,
"ESP","Spain","OQ","Overqualification","2016","2016",20,,
"SWE","Sweden","OQ","Overqualification","2016","2016",14.6,,
"CHE","Switzerland","OQ","Overqualification","2016","2016",11.3,,
"GBR","United Kingdom","OQ","Overqualification","2016","2016",13.5,,
"BGR","Bulgaria","OQ","Overqualification","2016","2016",11.6,,
"CYP","Cyprus","OQ","Overqualification","2016","2016",12.6,,
"EST","Estonia","OQ","Overqualification","2016","2016",14.1,,
"LVA","Latvia","OQ","Overqualification","2016","2016",12.1,,
"LTU","Lithuania","OQ","Overqualification","2016","2016",21.2,,
"ROU","Romania","OQ","Overqualification","2016","2016",15.1,,
"SVN","Slovenia","OQ","Overqualification","2016","2016",12,,
"ZAF","South Africa","OQ","Overqualification","2016","2016",24.2,,
"AUT","Austria","FOS","Field-of-study mismatch","2016","2016",26.6,,
"BEL","Belgium","FOS","Field-of-study mismatch","2016","2016",28,,
"CZE","Czech Republic","FOS","Field-of-study mismatch","2016","2016",31.1,,
"DNK","Denmark","FOS","Field-of-study mismatch","2016","2016",30.8,,
"FIN","Finland","FOS","Field-of-study mismatch","2016","2016",23.7,,
"FRA","France","FOS","Field-of-study mismatch","2016","2016",33.4,,
"DEU","Germany","FOS","Field-of-study mismatch","2016","2016",20.1,,
"GRC","Greece","FOS","Field-of-study mismatch","2016","2016",39.4,,
"HUN","Hungary","FOS","Field-of-study mismatch","2016","2016",30.7,,
"ISL","Iceland","FOS","Field-of-study mismatch","2016","2016",36.4,,
"IRL","Ireland","FOS","Field-of-study mismatch","2016","2016",38.7,,
"ITA","Italy","FOS","Field-of-study mismatch","2016","2016",36.5,,
"LUX","Luxembourg","FOS","Field-of-study mismatch","2016","2016",23.3,,
"NLD","Netherlands","FOS","Field-of-study mismatch","2016","2016",33.2,,
"NOR","Norway","FOS","Field-of-study mismatch","2016","2016",27.7,,
"PRT","Portugal","FOS","Field-of-study mismatch","2016","2016",35.9,,
"SVK","Slovak Republic","FOS","Field-of-study mismatch","2016","2016",37,,
"ESP","Spain","FOS","Field-of-study mismatch","2016","2016",33.7,,
"SWE","Sweden","FOS","Field-of-study mismatch","2016","2016",35.4,,
"CHE","Switzerland","FOS","Field-of-study mismatch","2016","2016",23.8,,
"GBR","United Kingdom","FOS","Field-of-study mismatch","2016","2016",38,,
"CYP","Cyprus","FOS","Field-of-study mismatch","2016","2016",34.5,,
"EST","Estonia","FOS","Field-of-study mismatch","2016","2016",35.5,,
"LVA","Latvia","FOS","Field-of-study mismatch","2016","2016",34.7,,
"LTU","Lithuania","FOS","Field-of-study mismatch","2016","2016",34.9,,
"ROU","Romania","FOS","Field-of-study mismatch","2016","2016",39.2,,
"ZAF","South Africa","FOS","Field-of-study mismatch","2016","2016",32.5,,
"AUT","Austria","QM","Qualification mismatch","2016","2016",36,,
"BEL","Belgium","QM","Qualification mismatch","2016","2016",34.5,,
"CZE","Czech Republic","QM","Qualification mismatch","2016","2016",17.1,,
"DNK","Denmark","QM","Qualification mismatch","2016","2016",34,,
"FIN","Finland","QM","Qualification mismatch","2016","2016",28.2,,
"FRA","France","QM","Qualification mismatch","2016","2016",34.2,,
"DEU","Germany","QM","Qualification mismatch","2016","2016",37.2,,
"GRC","Greece","QM","Qualification mismatch","2016","2016",43.7,,
"HUN","Hungary","QM","Qualification mismatch","2016","2016",30.1,,
"ISL","Iceland","QM","Qualification mismatch","2016","2016",38.2,,
"IRL","Ireland","QM","Qualification mismatch","2016","2016",44,,
"ITA","Italy","QM","Qualification mismatch","2016","2016",38.2,,
"LUX","Luxembourg","QM","Qualification mismatch","2016","2016",30.2,,
"NLD","Netherlands","QM","Qualification mismatch","2016","2016",37.7,,
"NOR","Norway","QM","Qualification mismatch","2016","2016",35,,
"POL","Poland","QM","Qualification mismatch","2016","2016",22.8,,
"PRT","Portugal","QM","Qualification mismatch","2016","2016",42.4,,
"SVK","Slovak Republic","QM","Qualification mismatch","2016","2016",20,,
"ESP","Spain","QM","Qualification mismatch","2016","2016",41.2,,
"SWE","Sweden","QM","Qualification mismatch","2016","2016",37,,
"CHE","Switzerland","QM","Qualification mismatch","2016","2016",36,,
"GBR","United Kingdom","QM","Qualification mismatch","2016","2016",41,,
"BGR","Bulgaria","QM","Qualification mismatch","2016","2016",24.2,,
"CYP","Cyprus","QM","Qualification mismatch","2016","2016",35,,
"EST","Estonia","QM","Qualification mismatch","2016","2016",38,,
"LVA","Latvia","QM","Qualification mismatch","2016","2016",29.7,,
"LTU","Lithuania","QM","Qualification mismatch","2016","2016",34.9,,
"ROU","Romania","QM","Qualification mismatch","2016","2016",28.6,,
"SVN","Slovenia","QM","Qualification mismatch","2016","2016",24.7,,
"ZAF","South Africa","QM","Qualification mismatch","2016","2016",52.2,,
"AUS","Australia","UQ","Underqualification","2016","2016",18.5,,
"CAN","Canada","UQ","Underqualification","2016","2016",21.7,,
"MEX","Mexico","UQ","Underqualification","2016","2016",12.6,,
"NZL","New Zealand","UQ","Underqualification","2016","2016",23.5,,
"TUR","Turkey","UQ","Underqualification","2016","2016",14,,
"USA","United States","UQ","Underqualification","2016","2016",17.7,,
"ARG","Argentina","UQ","Underqualification","2016","2016",21.2,,
"BRA","Brazil","UQ","Underqualification","2016","2016",9.39,,
"CHL","Chile","UQ","Underqualification","2016","2016",16.5,,
"PER","Peru","UQ","Underqualification","2016","2016",9.3,,
"AUS","Australia","OQ","Overqualification","2016","2016",20.2,,
"CAN","Canada","OQ","Overqualification","2016","2016",16.2,,
"MEX","Mexico","OQ","Overqualification","2016","2016",37.7,,
"NZL","New Zealand","OQ","Overqualification","2016","2016",17.2,,
"TUR","Turkey","OQ","Overqualification","2016","2016",29.1,,
"USA","United States","OQ","Overqualification","2016","2016",15.6,,
"ARG","Argentina","OQ","Overqualification","2016","2016",27.2,,
"BRA","Brazil","OQ","Overqualification","2016","2016",28.2,,
"CHL","Chile","OQ","Overqualification","2016","2016",30.5,,
"PER","Peru","OQ","Overqualification","2016","2016",26.2,,
"AUS","Australia","FOS","Field-of-study mismatch","2016","2016",32.7,,
"TUR","Turkey","FOS","Field-of-study mismatch","2016","2016",36,,
"PER","Peru","FOS","Field-of-study mismatch","2016","2016",51.5,,
"AUS","Australia","QM","Qualification mismatch","2016","2016",38.7,,
"CAN","Canada","QM","Qualification mismatch","2016","2016",37.9,,
"MEX","Mexico","QM","Qualification mismatch","2016","2016",50.2,,
"NZL","New Zealand","QM","Qualification mismatch","2016","2016",40.7,,
"TUR","Turkey","QM","Qualification mismatch","2016","2016",43,,
"USA","United States","QM","Qualification mismatch","2016","2016",33.5,,
"ARG","Argentina","QM","Qualification mismatch","2016","2016",48.5,,
"BRA","Brazil","QM","Qualification mismatch","2016","2016",37.7,,
"CHL","Chile","QM","Qualification mismatch","2016","2016",47,,
"PER","Peru","QM","Qualification mismatch","2016","2016",35.5,,
"EU","European Union","UQ","Underqualification","2016","2016",18.7,,
"OECD","OECD - Total","UQ","Underqualification","2016","2016",18.9,,
"EU","European Union","OQ","Overqualification","2016","2016",14.7,,
"OECD","OECD - Total","OQ","Overqualification","2016","2016",16.8,,
"EU","European Union","FOS","Field-of-study mismatch","2016","2016",32.8,,
"OECD","OECD - Total","FOS","Field-of-study mismatch","2016","2016",32.2,,
"EU","European Union","QM","Qualification mismatch","2016","2016",33.5,,
"OECD","OECD - Total","QM","Qualification mismatch","2016","2016",35.7,,
